codigo,descricao,unidade_medida,grupo,data_venda,valor_declarado,valor_venda
15214,GALVIBEN ACRILICO DF BRANCO #  # ONU 1263 QUANT.LTDA TINTA 3 II,UN,tinta_branca,2026-09-15T12:20:46Z,49.99,49.99
362179,HIDROTINTAS BRILHO E COR 15L BR GELO UN,UN,tinta_branca,2026-09-12T11:23:09Z,369.986,221.99
365089,HIDROTINTAS BRILHO E COR 15L BR NEVE UN,UN,tinta_branca,2026-09-11T15:17:52Z,369.9,221.94
366385,HIDROTINTAS DEMAIS 15L BR GELO UN,UN,tinta_branca,2026-09-11T14:34:58Z,99.9,99.9
365080,HIDROTINTAS DEMAIS 15L BR NEVE UN,L,tinta_branca,2026-09-15T22:38:00Z,89.9,89.9
362959,HIDROTINTAS ESM MAXLIT AB 3L BRANCO UN,UN,tinta_branca,2026-09-13T18:47:41Z,94.9,94.9
375428,"HIDROTINTAS ESM SECAMAX 0,75L BR GELO UN",UN,tinta_branca,2026-09-15T19:39:48Z,35.9,35.9
375426,"HIDROTINTAS ESM SECAMAX 0,75L BR NEVE UN",UN,tinta_branca,2026-09-13T19:06:15Z,35.9,35.9
363216,HIDROTINTAS MASSA ACRILICA 20KG BALDE UN,L,tinta_acrilica,2026-09-10T14:56:33Z,119.9,119.9
375276,HIDROTINTAS PISOS E PAREDES 15L BR GELO UN,L,tinta_branca,2026-09-15T19:21:27Z,255.9,255.9
375266,HIDROTINTAS PISOS E PAREDES 3L BR GELO UN,L,tinta_branca,2026-09-09T14:59:41Z,61.9,61.9
377221,HIDROTINTAS SELADAO ACRIL PIGMENTADO 15L UN,L,tinta_acrilica,2026-09-12T14:44:52Z,102.9,102.9
373776,"HIPERCOR ACR 3,6L BRANCO GELO UN",UN,tinta_acrilica,2026-09-11T21:36:20Z,36.9,36.9
373776,"HIPERCOR ACR 3,6L BRANCO GELO UN",UN,tinta_acrilica_branca,2026-09-11T21:36:20Z,36.9,36.9
373776,"HIPERCOR ACR 3,6L BRANCO GELO UN",UN,tinta_branca,2026-09-11T21:36:20Z,36.9,36.9
645,HPISO ACRILICO PREMIUM VERDE 15L,UN,tinta_acrilica,2026-09-15T19:45:23Z,220.0,220.0
360964,"IQUINE DIAPISO 0,9L BRANCO UN",UN,tinta_branca,2026-09-13T12:48:10Z,34.9,34.9
40249,"IQUINE GALVOMAX 0,9L BRANCO FOSCO UN",1/,tinta_branca,2026-09-11T15:46:04Z,79.9,79.9
13830,"IQUINE GALVOMAX 0,9L BRANCO FOSCO UN",UN,tinta_branca,2026-09-10T19:12:33Z,79.99,79.99
205461,IQUINE SELA E PINTA BRANCO NEVE 18L,UN,tinta_branca,2026-09-10T14:47:45Z,413.0,350.0
