codigo,descricao,descricao_sefaz,gtin,ncm,gpc,unidade_medida,data_venda,valor_declarado,valor_venda
26049,TINTA SPRAY U.G AZ CLARO 400ML IQUINE,TINTA SPRAY U GER 400ML AZ/CL IQUINE SP0001SP,7899674031600,32082011,83000000,UN,2026-09-12T12:12:37Z,14.99,14.99
74754,"TINTA ESM BR 0,112L DIALINE SEC BR/NV I LT0001LT","DIALINE-ESM SEC RAP BCO NEVE 112,5ML -> COD.ONU: 1263 CL.RISCO: 3,0 GR.EMB: III TINTA CONTENDO SOLVENTE ORGANICO.",7892948012398,32081010,83000000,LT,2026-09-15T16:20:51Z,14.99,14.99
74750,"TINTA ESM BR 0,112L DIALINE SEC TB IQUIN","TINTA ACRIL. ESM RAP MARROM TABACO 112,5ML DIALINE IQUINE",7892948012527,32081010,83000000,LT,2026-09-13T14:03:17Z,14.99,14.99
76051,"TINTA ESM BR 0,112L DIALINE SEC AM IQUIN","DIALINE-ESM SEC RAP AMARELO 112,5ML -COD.ONU:1263 CL.RISCO3,0 GR.EMBIII TINTA CONTENDO SOLVENTE ORGANICO.",7892948012381,32081010,83000000,LT,2026-09-13T14:03:17Z,14.99,14.99
405490-1,TINTA AZUL CLARO 250ML CHEMICOLOR,,7899674039804,32082011,83000000,PC,2026-09-12T17:21:48Z,14.99,14.99
76044,"TINTA ESM BR 0,112L DIALINE SEC VM IQUIN","DIALINE-ESM SEC RAP VERMELHO112,5 ML -> COD.ONU: 1263 CL.RISCO: 3,0 GR.EMB: III TINTA CONTENDO SOLVE",7892948012367,32081010,83000000,LT,2026-09-13T14:03:17Z,14.99,14.99
11039,TINTA ESMAL BRILHO PRETO 225ml,,7908027015775,32091010,83000000,PC,2026-09-09T05:51:59Z,15.0,15.0
0000000002902,TINTA SPRAY UG PRETO BRILHO 400ML PRATIK,,7896480666576,32082011,83000000,UN,2026-09-12T14:25:00Z,15.0,15.0
3128,SPRAY TINTAS LUX U GERAL CZ PRIMER 400ML,,0,32082011,83000000,UN,2026-09-09T15:30:58Z,16.0,15.0
7891153062228,TINTA P TECIDO 120M,,0,32091010,83000000,UN,2026-09-11T15:37:44Z,16.6,15.04
18496,TINTA SPRAY PAINTCOLOR BRANCO FOSCO 400ML,,7899674036315,32082011,83000000,UND,2026-09-10T14:12:37Z,17.99,15.29
18332,TINTA SPRAY PAINTCOLOR PRETO BRILHANTE 400ML,,7899674036391,32082011,83000000,UND,2026-09-15T19:36:57Z,17.99,15.29
17305,TINTA CHEMIC U.G. LJA 400ML BASTON,TINTA SPRAY USO G LR 400ML CHEMICOLO 1X400ML CHEMICOLOR,7898436141557,32082011,83000000,UN,2026-09-11T12:11:06Z,19.0,15.333333333333334
53933,TINTA AEROSSOL LARANJA   2443  TEK BOND,TINTA AEROSSOL LARANJA USO GERAL 350 ML/250G COD 23131006900,7898543381044,32082019,83000000,UN,2026-09-15T13:29:38Z,17.01,15.395
48201,TINTA NORDESTIN U.G ALUM. P RODAS 350ML,,0,32082019,83000000,UN,2026-09-15T15:16:19Z,17.1,15.46
9101,Tinta Spray White Color Preto Brilhante 340ml Orbi,TINTA SPRAY PR BR USO GERAL 340/ML/190 WHITE COLOR,7898314112709,32082011,83000000,UN,2026-09-14T18:15:52Z,15.6,15.6
3267,TINTA SPRAY 400ML PRETO - CHEMICOLOR,,0,32082011,83000000,UN,2026-09-15T17:20:24Z,16.9,15.71
5408,TINTA SPRAY NORDESTIN PTO BRILHANTE 350ML,,0,32082019,83000000,UN,2026-09-11T17:25:28Z,15.99,15.99
5093,SPRAY TEKBOND U.G PRETO BRIL 350ML,"TINTA SPRAY USOGERAL PR BRILHO 350ML - TEKBOND,ONU 1950,AEROSOIS - PIRETROIDES,SUBCLASSE 2.1,(CLASSE",7898543380924,32082019,83000000,UN,2026-09-15T14:42:04Z,16.0,16.0
5094,SPRAY TEKBOND U.G PRETO FSC 350ML,TINTA AEROSSOL PRETO FOSCO USO GERAL 350 ML/250G REF 23001006900,7898543380917,32082019,83000000,UN,2026-09-12T10:52:11Z,16.0,16.0
33,Tinta Spray 400ml uso geral verde claro Chemicolor,TINTA SPRAY USO G VD CLARO 400ML CHAMICO 1X400ML CHEMICOLOR,7898436141595,32082011,83000000,UN,2026-09-12T15:59:41Z,16.0,16.0
10501,TINTA SPRAY 500ML BRANCO BRILHANTE USO G - CHEMICOLOR,,0,32082011,83000000,UN,2026-09-14T14:17:41Z,16.9,16.0
9706,Tinta spray rosa uso geral 400ml Chemicolor /,TINTA SPRAY USO G RS 400ML CHEMICOLOR 1X400ML CHEMICOLOR,7898436141656,32082011,83000000,UN,2026-09-11T11:12:18Z,17.0,16.0
213,TINTA SPRAY MONDIAL 400ML,,0,32082019,83000000,UN,2026-09-12T12:20:28Z,16.0,16.0
3205,TINTA SPRAY USO G BR BRILHANTE 400ML,,0,32082011,83000000,UN,2026-09-13T15:44:31Z,16.0,16.0
8648,TINTA SPRAY U GER 400ML AL CHEMICOLOR,,0,32082011,83000000,SP,2026-09-10T19:45:38Z,16.0,16.0
